Date,Open,Close,Volume,Price_change,date
2009-06-04,932.489990234375,942.4600219726562,5352890000,1,2009-06-04
2009-06-05,945.6699829101562,940.0900268554688,5277910000,-1,2009-06-05
2009-06-08,938.1199951171875,939.1400146484375,4483430000,-1,2009-06-08
2009-06-09,940.3499755859375,942.4299926757812,4439950000,1,2009-06-09
2009-06-10,942.72998046875,939.1500244140625,5379420000,-1,2009-06-10
2009-06-11,939.0399780273438,944.8900146484375,5500840000,1,2009-06-11
2009-06-12,943.4400024414062,946.2100219726562,4528120000,1,2009-06-12
2009-06-15,942.4500122070312,923.719970703125,4697880000,-1,2009-06-15
2009-06-16,925.5999755859375,911.969970703125,4951200000,-1,2009-06-16
2009-06-17,911.8900146484375,910.7100219726562,5523650000,-1,2009-06-17
2009-06-18,910.8599853515625,918.3699951171875,4684010000,1,2009-06-18
2009-06-19,919.9600219726562,921.22998046875,5713390000,1,2009-06-19
2009-06-22,918.1300048828125,893.0399780273438,4903940000,-1,2009-06-22
2009-06-23,893.4600219726562,895.0999755859375,5071020000,1,2009-06-23
2009-06-24,896.3099975585938,900.9400024414062,4636720000,1,2009-06-24
2009-06-25,899.4500122070312,920.260009765625,4911240000,1,2009-06-25
2009-06-26,918.8400268554688,918.9000244140625,6076660000,-1,2009-06-26
2009-06-29,919.8599853515625,927.22998046875,4211760000,1,2009-06-29
2009-06-30,927.1500244140625,919.3200073242188,4627570000,-1,2009-06-30
2009-07-01,920.8200073242188,923.3300170898438,3919400000,1,2009-07-01
2009-07-02,921.239990234375,896.4199829101562,3931000000,-1,2009-07-02
2009-07-06,894.27001953125,898.719970703125,4712580000,1,2009-07-06
2009-07-07,898.5999755859375,881.030029296875,4673300000,-1,2009-07-07
2009-07-08,881.9000244140625,879.5599975585938,5721780000,-1,2009-07-08
2009-07-09,881.280029296875,882.6799926757812,4347170000,1,2009-07-09
2009-07-10,880.030029296875,879.1300048828125,3912080000,-1,2009-07-10
2009-07-13,879.5700073242188,901.0499877929688,4499440000,1,2009-07-13
2009-07-14,900.77001953125,905.8400268554688,4149030000,1,2009-07-14
2009-07-15,910.1500244140625,932.6799926757812,5238830000,1,2009-07-15
2009-07-16,930.1699829101562,940.739990234375,4898640000,1,2009-07-16
2009-07-17,940.5599975585938,940.3800048828125,5141380000,-1,2009-07-17
2009-07-20,942.0700073242188,951.1300048828125,4853150000,1,2009-07-20
2009-07-21,951.969970703125,954.5800170898438,5309300000,1,2009-07-21
2009-07-22,953.4000244140625,954.0700073242188,4634100000,-1,2009-07-22
2009-07-23,954.0700073242188,976.2899780273438,5761650000,1,2009-07-23
2009-07-24,972.1599731445312,979.260009765625,4458300000,1,2009-07-24
2009-07-27,978.6300048828125,982.1799926757812,4631290000,1,2009-07-27
2009-07-28,981.47998046875,979.6199951171875,5490350000,-1,2009-07-28
2009-07-29,977.6599731445312,975.1500244140625,5178770000,-1,2009-07-29
2009-07-30,976.010009765625,986.75,6035180000,1,2009-07-30
2009-07-31,986.7999877929688,987.47998046875,5139070000,1,2009-07-31
2009-08-03,990.219970703125,1002.6300048828125,5603440000,1,2009-08-03
2009-08-04,1001.4099731445312,1005.6500244140625,5713700000,1,2009-08-04
2009-08-05,1005.4099731445312,1002.719970703125,7242120000,-1,2009-08-05
2009-08-06,1004.0599975585938,997.0800170898438,6753380000,-1,2009-08-06
2009-08-07,999.8300170898438,1010.47998046875,6827090000,1,2009-08-07
2009-08-10,1008.8900146484375,1007.0999755859375,5406080000,-1,2009-08-10
2009-08-11,1005.77001953125,994.3499755859375,5773160000,-1,2009-08-11
2009-08-12,994.0,1005.8099975585938,5498170000,1,2009-08-12
2009-08-13,1005.8599853515625,1012.72998046875,5250660000,1,2009-08-13
2009-08-14,1012.22998046875,1004.0900268554688,4940750000,-1,2009-08-14
2009-08-17,998.1799926757812,979.72998046875,4088570000,-1,2009-08-17
2009-08-18,980.6199951171875,989.6699829101562,4198970000,1,2009-08-18
2009-08-19,986.8800048828125,996.4600219726562,4257000000,1,2009-08-19
2009-08-20,996.4099731445312,1007.3699951171875,4893160000,1,2009-08-20
2009-08-21,1009.0599975585938,1026.1300048828125,5885550000,1,2009-08-21
2009-08-24,1026.5899658203125,1025.5699462890625,6302450000,-1,2009-08-24
2009-08-25,1026.6300048828125,1028.0,5768740000,1,2009-08-25
2009-08-26,1027.3499755859375,1028.1199951171875,5080060000,1,2009-08-26
2009-08-27,1027.81005859375,1030.97998046875,5785880000,1,2009-08-27
2009-08-28,1031.6199951171875,1028.9300537109375,5785780000,-1,2009-08-28
2009-08-31,1025.2099609375,1020.6199951171875,5004560000,-1,2009-08-31
2009-09-01,1019.52001953125,998.0399780273438,6862360000,-1,2009-09-01
2009-09-02,996.0700073242188,994.75,5842730000,-1,2009-09-02
2009-09-03,996.1199951171875,1003.239990234375,4624280000,1,2009-09-03
2009-09-04,1003.8400268554688,1016.4000244140625,4097370000,1,2009-09-04
2009-09-08,1018.6699829101562,1025.3900146484375,5235160000,1,2009-09-08
2009-09-09,1025.3599853515625,1033.3699951171875,5202550000,1,2009-09-09
2009-09-10,1032.989990234375,1044.1400146484375,5191380000,1,2009-09-10
2009-09-11,1043.9200439453125,1042.72998046875,4922600000,-1,2009-09-11
2009-09-14,1040.1500244140625,1049.3399658203125,4979610000,1,2009-09-14
2009-09-15,1049.030029296875,1052.6300048828125,6185620000,1,2009-09-15
2009-09-16,1053.989990234375,1068.760009765625,6793530000,1,2009-09-16
2009-09-17,1067.8699951171875,1065.489990234375,6668110000,-1,2009-09-17
2009-09-18,1066.5999755859375,1068.300048828125,5607970000,1,2009-09-18
2009-09-21,1067.1400146484375,1064.6600341796875,4615280000,-1,2009-09-21
2009-09-22,1066.3499755859375,1071.6600341796875,5246600000,1,2009-09-22
2009-09-23,1072.68994140625,1060.8699951171875,5531930000,-1,2009-09-23
2009-09-24,1062.56005859375,1050.780029296875,5505610000,-1,2009-09-24
2009-09-25,1049.47998046875,1044.3800048828125,4507090000,-1,2009-09-25
2009-09-28,1045.3800048828125,1062.97998046875,3726950000,1,2009-09-28
2009-09-29,1063.68994140625,1060.6099853515625,4949900000,-1,2009-09-29
2009-09-30,1061.02001953125,1057.0799560546875,5998860000,-1,2009-09-30
2009-10-01,1054.9100341796875,1029.8499755859375,5791450000,-1,2009-10-01
2009-10-02,1029.7099609375,1025.2099609375,5583240000,-1,2009-10-02
2009-10-05,1026.8699951171875,1040.4599609375,4313310000,1,2009-10-05
2009-10-06,1042.02001953125,1054.719970703125,5029840000,1,2009-10-06
2009-10-07,1053.6500244140625,1057.5799560546875,4238220000,1,2009-10-07
2009-10-08,1060.030029296875,1065.47998046875,4988400000,1,2009-10-08
2009-10-09,1065.280029296875,1071.489990234375,3763780000,1,2009-10-09
2009-10-12,1071.6300048828125,1076.18994140625,3710430000,1,2009-10-12
2009-10-13,1074.9599609375,1073.18994140625,4320480000,-1,2009-10-13
2009-10-14,1078.6800537109375,1092.02001953125,5406420000,1,2009-10-14
2009-10-15,1090.3599853515625,1096.56005859375,5369780000,1,2009-10-15
2009-10-16,1094.6700439453125,1087.6800537109375,4894740000,-1,2009-10-16
2009-10-19,1088.219970703125,1097.9100341796875,4619240000,1,2009-10-19
2009-10-20,1098.6400146484375,1091.06005859375,5396930000,-1,2009-10-20
2009-10-21,1090.3599853515625,1081.4000244140625,5616290000,-1,2009-10-21
2009-10-22,1080.9599609375,1092.9100341796875,5192410000,1,2009-10-22
2009-10-23,1095.6199951171875,1079.5999755859375,4767460000,-1,2009-10-23
2009-10-26,1080.3599853515625,1066.949951171875,6363380000,-1,2009-10-26
2009-10-27,1067.5400390625,1063.4100341796875,5337380000,-1,2009-10-27
2009-10-28,1061.510009765625,1042.6300048828125,6600350000,-1,2009-10-28
2009-10-29,1043.68994140625,1066.1099853515625,5595040000,1,2009-10-29
2009-10-30,1065.4100341796875,1036.18994140625,6512420000,-1,2009-10-30
2009-11-02,1036.1800537109375,1042.8800048828125,6202640000,1,2009-11-02
2009-11-03,1040.9200439453125,1045.4100341796875,5487500000,1,2009-11-03
2009-11-04,1047.1400146484375,1046.5,5635510000,1,2009-11-04
2009-11-05,1047.300048828125,1066.6300048828125,4848350000,1,2009-11-05
2009-11-06,1064.949951171875,1069.300048828125,4277130000,1,2009-11-06
2009-11-09,1072.31005859375,1093.0799560546875,4460030000,1,2009-11-09
2009-11-10,1091.8599853515625,1093.010009765625,4394770000,-1,2009-11-10
2009-11-11,1096.0400390625,1098.510009765625,4286700000,1,2009-11-11
2009-11-12,1098.31005859375,1087.239990234375,4160250000,-1,2009-11-12
2009-11-13,1087.5899658203125,1093.47998046875,3792610000,1,2009-11-13
2009-11-16,1094.1300048828125,1109.300048828125,4565850000,1,2009-11-16
2009-11-17,1109.219970703125,1110.3199462890625,3824070000,1,2009-11-17
2009-11-18,1109.43994140625,1109.800048828125,4293340000,-1,2009-11-18
2009-11-19,1106.43994140625,1094.9000244140625,4178030000,-1,2009-11-19
2009-11-20,1094.6600341796875,1091.3800048828125,3751230000,-1,2009-11-20
2009-11-23,1094.8599853515625,1106.239990234375,3827920000,1,2009-11-23
2009-11-24,1105.8299560546875,1105.6500244140625,3700820000,-1,2009-11-24
2009-11-25,1106.489990234375,1110.6300048828125,3036350000,1,2009-11-25
2009-11-27,1105.469970703125,1091.489990234375,2362910000,-1,2009-11-27
2009-11-30,1091.0699462890625,1095.6300048828125,3895520000,1,2009-11-30
2009-12-01,1098.8900146484375,1108.8599853515625,4249310000,1,2009-12-01
2009-12-02,1109.030029296875,1109.239990234375,3941340000,1,2009-12-02
2009-12-03,1110.5899658203125,1099.9200439453125,4810030000,-1,2009-12-03
2009-12-04,1100.4300537109375,1105.97998046875,5781140000,1,2009-12-04
2009-12-07,1105.52001953125,1103.25,4103360000,-1,2009-12-07
2009-12-08,1103.0400390625,1091.93994140625,4748030000,-1,2009-12-08
2009-12-09,1091.0699462890625,1095.949951171875,4115410000,1,2009-12-09
2009-12-10,1098.68994140625,1102.3499755859375,3996490000,1,2009-12-10
2009-12-11,1103.9599609375,1106.4100341796875,3791090000,1,2009-12-11
2009-12-14,1107.8399658203125,1114.1099853515625,4548490000,1,2009-12-14
2009-12-15,1114.1099853515625,1107.9300537109375,5045100000,-1,2009-12-15
2009-12-16,1108.6099853515625,1109.1800537109375,4829820000,1,2009-12-16
2009-12-17,1106.3599853515625,1096.0799560546875,7615070000,-1,2009-12-17
2009-12-18,1097.8599853515625,1102.469970703125,6325890000,1,2009-12-18
2009-12-21,1105.31005859375,1114.050048828125,3977340000,1,2009-12-21
2009-12-22,1114.510009765625,1118.02001953125,3641130000,1,2009-12-22
2009-12-23,1118.8399658203125,1120.5899658203125,3166870000,1,2009-12-23
2009-12-24,1121.0799560546875,1126.47998046875,1267710000,1,2009-12-24
2009-12-28,1127.530029296875,1127.780029296875,2716400000,1,2009-12-28
2009-12-29,1128.550048828125,1126.199951171875,2491020000,-1,2009-12-29
2009-12-30,1125.530029296875,1126.4200439453125,2277300000,1,2009-12-30
2009-12-31,1126.5999755859375,1115.0999755859375,2076990000,-1,2009-12-31
2010-01-04,1116.56005859375,1132.989990234375,3991400000,1,2010-01-04
2010-01-05,1132.6600341796875,1136.52001953125,2491020000,1,2010-01-05
2010-01-06,1135.7099609375,1137.1400146484375,4972660000,1,2010-01-06
2010-01-07,1136.27001953125,1141.68994140625,5270680000,1,2010-01-07
2010-01-08,1140.52001953125,1144.97998046875,4389590000,1,2010-01-08
2010-01-11,1145.9599609375,1146.97998046875,4255780000,1,2010-01-11
2010-01-12,1143.81005859375,1136.219970703125,4716160000,-1,2010-01-12
2010-01-13,1137.31005859375,1145.6800537109375,4170360000,1,2010-01-13
2010-01-14,1145.6800537109375,1148.4599609375,3915200000,1,2010-01-14
2010-01-15,1147.719970703125,1136.030029296875,4758730000,-1,2010-01-15
2010-01-19,1136.030029296875,1150.22998046875,4724830000,1,2010-01-19
2010-01-20,1147.949951171875,1138.0400390625,4810560000,-1,2010-01-20
2010-01-21,1138.6800537109375,1116.47998046875,6874290000,-1,2010-01-21
2010-01-22,1115.489990234375,1091.760009765625,6208650000,-1,2010-01-22
2010-01-25,1092.4000244140625,1096.780029296875,4481390000,1,2010-01-25
2010-01-26,1095.800048828125,1092.1700439453125,4731910000,-1,2010-01-26
2010-01-27,1091.93994140625,1097.5,5319120000,1,2010-01-27
2010-01-28,1096.9300537109375,1084.530029296875,5452400000,-1,2010-01-28
2010-01-29,1087.6099853515625,1073.8699951171875,5412850000,-1,2010-01-29
2010-02-01,1073.8900146484375,1089.18994140625,4077610000,1,2010-02-01
2010-02-02,1090.050048828125,1103.3199462890625,4749540000,1,2010-02-02
2010-02-03,1100.6700439453125,1097.280029296875,4285450000,-1,2010-02-03
2010-02-04,1097.25,1063.1099853515625,5859690000,-1,2010-02-04
2010-02-05,1064.1199951171875,1066.18994140625,6438900000,1,2010-02-05
2010-02-08,1065.510009765625,1056.739990234375,4089820000,-1,2010-02-08
2010-02-09,1060.06005859375,1070.52001953125,5114260000,1,2010-02-09
2010-02-10,1069.6800537109375,1068.1300048828125,4251450000,-1,2010-02-10
2010-02-11,1067.0999755859375,1078.469970703125,4400870000,1,2010-02-11
2010-02-12,1075.949951171875,1075.510009765625,4160680000,-1,2010-02-12
2010-02-16,1079.1300048828125,1094.8699951171875,4080770000,1,2010-02-16
2010-02-17,1096.1400146484375,1099.510009765625,4259230000,1,2010-02-17
2010-02-18,1099.030029296875,1106.75,3878620000,1,2010-02-18
2010-02-19,1105.489990234375,1109.1700439453125,3944280000,1,2010-02-19
2010-02-22,1110.0,1108.010009765625,3814440000,-1,2010-02-22
2010-02-23,1107.489990234375,1094.5999755859375,4521050000,-1,2010-02-23
2010-02-24,1095.8900146484375,1105.239990234375,4168360000,1,2010-02-24
2010-02-25,1101.239990234375,1102.93994140625,4521130000,-1,2010-02-25
2010-02-26,1103.0999755859375,1104.489990234375,3945190000,1,2010-02-26
2010-03-01,1105.3599853515625,1115.7099609375,3847640000,1,2010-03-01
2010-03-02,1117.010009765625,1118.31005859375,4134680000,1,2010-03-02
2010-03-03,1119.3599853515625,1118.7900390625,3951320000,1,2010-03-03
2010-03-04,1119.1199951171875,1122.969970703125,3945010000,1,2010-03-04
2010-03-05,1125.1199951171875,1138.699951171875,4133000000,1,2010-03-05
2010-03-08,1138.4000244140625,1138.5,3774680000,-1,2010-03-08
2010-03-09,1137.56005859375,1140.449951171875,5185570000,1,2010-03-09
2010-03-10,1140.219970703125,1145.6099853515625,5469120000,1,2010-03-10
2010-03-11,1143.9599609375,1150.239990234375,4669060000,1,2010-03-11
2010-03-12,1151.7099609375,1149.989990234375,4928160000,-1,2010-03-12
2010-03-15,1148.530029296875,1150.510009765625,4164110000,1,2010-03-15
2010-03-16,1150.8299560546875,1159.4599609375,4369770000,1,2010-03-16
2010-03-17,1159.93994140625,1166.2099609375,4963200000,1,2010-03-17
2010-03-18,1166.1300048828125,1165.8299560546875,4234510000,-1,2010-03-18
2010-03-19,1166.6800537109375,1159.9000244140625,5212410000,-1,2010-03-19
2010-03-22,1157.25,1165.81005859375,4261680000,1,2010-03-22
2010-03-23,1166.469970703125,1174.1700439453125,4411640000,1,2010-03-23
2010-03-24,1172.699951171875,1167.719970703125,4705750000,-1,2010-03-24
2010-03-25,1170.030029296875,1165.72998046875,5668900000,-1,2010-03-25
2010-03-26,1167.5799560546875,1166.5899658203125,4708420000,1,2010-03-26
2010-03-29,1167.7099609375,1173.219970703125,4375580000,1,2010-03-29
2010-03-30,1173.75,1173.27001953125,4085000000,1,2010-03-30
2010-03-31,1171.75,1169.4300537109375,4484340000,-1,2010-03-31
2010-04-01,1171.22998046875,1178.0999755859375,4006870000,1,2010-04-01
2010-04-05,1178.7099609375,1187.43994140625,3881620000,1,2010-04-05
2010-04-06,1186.010009765625,1189.43994140625,4086180000,1,2010-04-06
2010-04-07,1188.22998046875,1182.449951171875,5101430000,-1,2010-04-07
2010-04-08,1181.75,1186.43994140625,4726970000,1,2010-04-08
2010-04-09,1187.469970703125,1194.3699951171875,4511570000,1,2010-04-09
2010-04-12,1194.93994140625,1196.47998046875,4607090000,1,2010-04-12
2010-04-13,1195.93994140625,1197.300048828125,5403580000,1,2010-04-13
2010-04-14,1198.68994140625,1210.6500244140625,5760040000,1,2010-04-14
2010-04-15,1210.77001953125,1211.6700439453125,5995330000,1,2010-04-15
2010-04-16,1210.1700439453125,1192.1300048828125,8108470000,-1,2010-04-16
2010-04-19,1192.06005859375,1197.52001953125,6597740000,1,2010-04-19
2010-04-20,1199.0400390625,1207.1700439453125,5316590000,1,2010-04-20
2010-04-21,1207.1600341796875,1205.93994140625,5724310000,-1,2010-04-21
